id_,user,likes,dislikes,followers
1,lmalletratt0,2651,1167,16342
4,mmcsporrin3,2485,1469,10834
5,htacker4,2175,1648,14528
6,bhutchence5,2438,2399,13719
9,mlumly8,2063,1748,14941
13,hfenlonc,2526,637,17233
14,phigbind,2017,2352,14283
16,gpettettf,2508,2980,13631
19,dmayoi,2688,1447,14471
24,asummersiden,2512,1928,12582
26,pmingop,2422,2686,19037
27,jlysterq,2309,3186,18401
37,loates10,2869,925,14780
40,rworsley13,2974,2942,10882
45,jdressell18,2192,2166,18711
46,aferneyhough19,2742,1717,16150
49,mboycott1c,2714,1821,18393
52,scawse1f,2781,3147,19252
53,jsaing1g,2867,3067,16492
56,mtithecott1j,2195,749,15654
61,szupo1o,2050,2175,10189
66,eantusch1t,2848,788,19489
67,chintzer1u,2320,1043,18097
68,svasin1v,2681,2866,11125
69,gletts1w,2698,1851,18565
71,tmckeaney1y,2356,3100,13714
74,bmarcus21,2352,2276,11999
75,agehringer22,2078,3045,16817
81,lnorcliff28,2123,3356,10902
84,skingston2b,2038,2779,13726
90,malexis2h,2072,1982,15111
94,eearey2l,2998,1690,17380
95,tquartermaine2m,2791,1587,19629
96,lkabsch2n,2095,3451,19627
100,bgreser2r,2480,552,16717
